ticker,name,short_name,aliases,industry,market
1101,臺灣水泥股份有限公司,台泥,臺灣水泥股份有限公司|台泥|TCC,水泥工業,上市
1102,亞洲水泥股份有限公司,亞泥,亞洲水泥股份有限公司|亞泥|ACC,水泥工業,上市
1103,嘉新水泥股份有限公司,嘉泥,嘉新水泥股份有限公司|嘉泥|CHC,水泥工業,上市
1104,環球水泥股份有限公司,環泥,環球水泥股份有限公司|環泥|UCC,水泥工業,上市
1108,幸福水泥股份有限公司,幸福,幸福水泥股份有限公司|幸福|LUCKY CEMENT,水泥工業,上市
1109,信大水泥股份有限公司,信大,信大水泥股份有限公司|信大|HsingTa,水泥工業,上市
1110,東南水泥股份有限公司,東泥,東南水泥股份有限公司|東泥|SE CEMENT,水泥工業,上市
1201,味全食品工業股份有限公司,味全,味全食品工業股份有限公司|味全|WEI CHUAN,食品工業,上市
1203,味王股份有限公司,味王,味王股份有限公司|味王|VE WONG,食品工業,上市
1210,大成長城企業股份有限公司,大成,大成長城企業股份有限公司|大成|GREATWALL,食品工業,上市
1213,大西洋飲料股份有限公司,大飲,大西洋飲料股份有限公司|大飲|OCEANIC Bev.,食品工業,上市
1215,台灣卜蜂企業股份有限公司,卜蜂,台灣卜蜂企業股份有限公司|卜蜂|CPE,食品工業,上市
1216,統一企業股份有限公司,統一,統一企業股份有限公司|統一|UNI-PRESIDENT,食品工業,上市
1217,愛之味股份有限公司,愛之味,愛之味股份有限公司|愛之味|AGV,食品工業,上市
1218,泰山企業股份有限公司,泰山,泰山企業股份有限公司|泰山|TAISUN,食品工業,上市
1219,福壽實業股份有限公司,福壽,福壽實業股份有限公司|福壽|FWUSOW,食品工業,上市
1220,台榮產業股份有限公司,台榮,台榮產業股份有限公司|台榮|TAIROUN,食品工業,上市
1225,福懋油脂股份有限公司,福懋油,福懋油脂股份有限公司|福懋油|FOPCO,食品工業,上市
1227,佳格食品股份有限公司,佳格,佳格食品股份有限公司|佳格|SFC,食品工業,上市
1229,聯華實業控股股份有限公司,聯華,聯華實業控股股份有限公司|聯華|LHIHC,食品工業,上市
1231,聯華食品工業股份有限公司,聯華食,聯華食品工業股份有限公司|聯華食|Lian Hwa Foods,食品工業,上市
1232,大統益股份有限公司,大統益,大統益股份有限公司|大統益|TTET,食品工業,上市
1233,天仁茶業股份有限公司,天仁,天仁茶業股份有限公司|天仁|Ten Ren,食品工業,上市
1234,黑松股份有限公司,黑松,黑松股份有限公司|黑松|HEY SONG,食品工業,上市
1235,興泰實業股份有限公司,興泰,興泰實業股份有限公司|興泰|ST,食品工業,上市
1236,宏亞食品股份有限公司,宏亞,宏亞食品股份有限公司|宏亞|Hunya,食品工業,上市
1240,茂生農經股份有限公司,茂生農經,茂生農經股份有限公司|茂生農經|MORNSUN,農業科技業,上櫃
1256,鮮活控股股份有限公司,鮮活果汁-KY,鮮活控股股份有限公司|鮮活果汁-KY|Sunjuice,食品工業,上市
1259,安心食品服務股份有限公司,安心,安心食品服務股份有限公司|安心|AN-SHIN,觀光餐旅,上櫃
1260,富味鄉食品股份有限公司,富味鄉,富味鄉食品股份有限公司|富味鄉|FLAVOR,食品工業,上市
1264,德麥食品股份有限公司,德麥,德麥食品股份有限公司|德麥|TEHMAG,食品工業,上櫃
1268,漢來美食股份有限公司,漢來美食,漢來美食股份有限公司|漢來美食|Hi-Lai Foods,觀光餐旅,上櫃
1269,乾杯股份有限公司,乾杯,乾杯股份有限公司|乾杯|KANPAI,觀光餐旅,上市
1271,晨暉生物科技股份有限公司,晨暉生技,晨暉生物科技股份有限公司|晨暉生技|SunWay,生技醫療業,上市
1293,利統股份有限公司,利統,利統股份有限公司|利統|Lytone,食品工業,上市
1294,漢田生技股份有限公司,漢田生技,漢田生技股份有限公司|漢田生技|HTB,食品工業,上櫃
1295,生合生物科技股份有限公司,生合,生合生物科技股份有限公司|生合|SYNBIO,食品工業,上櫃
1301,台灣塑膠工業股份有限公司,台塑,台灣塑膠工業股份有限公司|台塑|FPC,塑膠工業,上市
1303,南亞塑膠工業股份有限公司,南亞,南亞塑膠工業股份有限公司|南亞|NPC,塑膠工業,上市
1304,台灣聚合化學品股份有限公司,台聚,台灣聚合化學品股份有限公司|台聚|USI,塑膠工業,上市
1305,華夏海灣塑膠股份有限公司,華夏,華夏海灣塑膠股份有限公司|華夏|CGPC,塑膠工業,上市
1307,三芳化學工業股份有限公司,三芳,三芳化學工業股份有限公司|三芳|SAN FANG,塑膠工業,上市
1308,亞洲聚合股份有限公司,亞聚,亞洲聚合股份有限公司|亞聚|APC,塑膠工業,上市
1309,台達化學工業股份有限公司,台達化,台達化學工業股份有限公司|台達化|TTC,塑膠工業,上市
1310,台灣苯乙烯工業股份有限公司,台苯,台灣苯乙烯工業股份有限公司|台苯|T.S.M.C.,塑膠工業,上市
1312,國喬石油化學股份有限公司,國喬,國喬石油化學股份有限公司|國喬|GPPC,塑膠工業,上市
1313,聯成化學科技股份有限公司,聯成,聯成化學科技股份有限公司|聯成|UPC,塑膠工業,上市
1314,中國石油化學工業開發(股)公司,中石化,中國石油化學工業開發(股)公司|中石化|CPDC,塑膠工業,上市
1315,達新工業股份有限公司,達新,達新工業股份有限公司|達新|TAH HSIN,塑膠工業,上市
1316,上曜建設開發股份有限公司,上曜,上曜建設開發股份有限公司|上曜|SUN  YAD,建材營造,上市
1319,東陽實業廠股份有限公司,東陽,東陽實業廠股份有限公司|東陽|TYG,汽車工業,上市
1321,大洋塑膠工業股份有限公司,大洋,大洋塑膠工業股份有限公司|大洋|OPC,塑膠工業,上市
1323,永裕塑膠工業股份有限公司,永裕,永裕塑膠工業股份有限公司|永裕|YONYU,塑膠工業,上市
1324,地球綜合工業股份有限公司,地球,地球綜合工業股份有限公司|地球|GLOBE TAPE,塑膠工業,上市
1325,恒大股份有限公司,恆大,恒大股份有限公司|恆大|UK,塑膠工業,上市
1326,台灣化學纖維股份有限公司,台化,台灣化學纖維股份有限公司|台化|FCFC,塑膠工業,上市
1336,台翰精密科技股份有限公司,台翰,台翰精密科技股份有限公司|台翰|TAIHAN,電子零組件業,上櫃
